model,ev_threshold,bets,wins,win_rate,stake,profit,roi,avg_odds,avg_ev,max_drawdown
MODEL B — MARKET ONLY,0.0,369,121,0.32791327913279134,369.0,26.039999999999996,0.0705691056910569,3.7407588075880756,0.10615702547580079,-33.870000000000005
MODEL C — TEAM + MARKET,0.0,355,111,0.3126760563380282,355.0,-0.6199999999999992,-0.0017464788732394344,3.8425070422535215,0.15043209451382894,-40.11
MODEL B — MARKET ONLY,0.02,350,118,0.33714285714285713,350.0,39.94,0.11411428571428571,3.7472857142857148,0.11130198289851896,-26.27000000000001
MODEL C — TEAM + MARKET,0.02,331,106,0.3202416918429003,331.0,8.699999999999996,0.02628398791540784,3.874441087613293,0.16052815380554933,-38.11
MODEL B — MARKET ONLY,0.05,286,104,0.36363636363636365,286.0,67.33000000000001,0.23541958041958047,3.9234965034965033,0.12810890293177488,-15.299999999999997
MODEL C — TEAM + MARKET,0.05,287,100,0.34843205574912894,287.0,42.010000000000005,0.1463763066202091,3.9569337979094072,0.1793577440322221,-21.229999999999997
MODEL B — MARKET ONLY,0.1,156,58,0.3717948717948718,156.0,68.55,0.4394230769230769,4.576602564102564,0.17378005963676338,-14.5
MODEL C — TEAM + MARKET,0.1,215,71,0.3302325581395349,215.0,44.39,0.20646511627906977,4.237906976744186,0.21396772168961228,-15.199999999999996
MODEL B — MARKET ONLY,0.15,83,26,0.3132530120481928,83.0,33.34,0.40168674698795187,5.31578313253012,0.21741539303406016,-12.0
MODEL C — TEAM + MARKET,0.15,151,49,0.32450331125827814,151.0,36.43,0.24125827814569537,4.603576158940396,0.25182142087805653,-11.699999999999996
MODEL B — MARKET ONLY,0.2,32,8,0.25,32.0,9.83,0.3071875,6.68,0.2896544762263201,-8.0
MODEL C — TEAM + MARKET,0.2,94,26,0.2765957446808511,94.0,17.159999999999997,0.18255319148936167,5.011382978723404,0.30109259624114526,-12.9
