date,home,away,actual,model_prob_home,model_prob_draw,model_prob_away,implied_prob_home,implied_prob_draw,implied_prob_away,log_loss,flagged_value,flagged_side,edge,pnl,home_known,away_known
2020-09-26,West Brom,Chelsea,D,0.051125888690273034,0.07382155450036118,0.8750525568093659,0.10512611879576893,0.19918633034987795,0.6956875508543532,2.6061045236182405,True,A,0.1793650059550127,-1.0,True,True
2020-09-26,Brighton,Man United,A,0.1953118819070844,0.2510014084425278,0.5536867096503877,0.19887458567794647,0.2519078085253989,0.5492176057966546,0.591156258239937,False,,0.004469103853733114,,True,True
2020-09-27,Tottenham,Newcastle,D,0.6430985073359171,0.2099810025231292,0.14692049014095354,0.6538661131292164,0.21069019200830302,0.13544369486248053,1.560738216532374,False,,0.011476795278473007,,True,True
2020-09-27,Man City,Leicester,A,0.6928352908114186,0.1735228257423654,0.1336418834462159,0.7418011452368558,0.15825091098386257,0.09994794377928162,2.0125915681611666,False,,0.033693939666934264,,True,True
2020-09-27,West Ham,Wolves,H,0.2661722849933671,0.26977730876641876,0.464050406240214,0.2642238998342847,0.2717731541152642,0.46400294605045117,1.3236114919147617,False,,0.0019483851590824108,,True,True
2020-09-27,Sheffield United,Leeds,A,0.3790914339554695,0.2038736346555663,0.4170349313889642,0.3510353227771011,0.28721071863581,0.36175395858708886,0.8745852923728463,True,A,0.05528097280187533,1.62,True,True
2020-09-28,Liverpool,Arsenal,H,0.6234738256021681,0.2118003197865224,0.16472585461130956,0.6543046357615894,0.1997350993377483,0.14596026490066225,0.4724484945312441,False,,0.018765589710647318,,True,True
2020-09-28,Fulham,Aston Villa,A,0.36999326030590807,0.25985889397625267,0.37014784571783943,0.3276209677419355,0.2923387096774194,0.3800403225806452,0.9938527701347144,False,,0.04237229256397257,,True,True
2020-10-03,Newcastle,Burnley,H,0.34355096668335916,0.2957856764431418,0.36066335687349904,0.39616613418530355,0.2971246006389776,0.30670926517571884,1.0684198037021146,True,A,0.053954091697780204,-1.0,True,True
2020-10-03,Leeds,Man City,D,0.10158798936782756,0.09016369734406943,0.8082483132881031,0.12589262099973555,0.17984660142819361,0.6942607775720709,2.4061284013950277,True,A,0.11398753571603215,-1.0,True,True
2020-10-03,Everton,Brighton,H,0.4543109986973406,0.2774102516732158,0.2682787496294437,0.5503577325261421,0.25243074665199045,0.19721152082186755,0.7889732963021804,True,A,0.07106722880757615,-1.0,True,True
2020-10-03,Chelsea,Crystal Palace,H,0.6149517628818508,0.2243408736840649,0.16070736343408426,0.6803939122649956,0.20053715308863027,0.11906893464637423,0.4862114485902067,False,,0.04163842878771003,,True,True
2020-10-04,Leicester,West Ham,A,0.6493104983821453,0.1973197994144758,0.15336970220337892,0.591715976331361,0.22682445759368838,0.1814595660749507,1.8749039180088938,True,H,0.0575945220507843,-1.0,True,True
2020-10-04,Arsenal,Sheffield United,H,0.5005930800126559,0.2926003692903524,0.20680655069699155,0.6045340050377834,0.23727959697732998,0.15818639798488665,0.6919617234666313,True,D,0.055320772313022404,-1.0,True,True
2020-10-04,Southampton,West Brom,H,0.8552013216686525,0.08684987854487362,0.0579487997864738,0.5510440835266821,0.24941995359628769,0.19953596287703013,0.15641837382271506,True,H,0.3041572381419704,0.72,True,True
2020-10-04,Wolves,Fulham,H,0.6968750626829485,0.1911295909026238,0.11199534641442768,0.6349206349206349,0.23809523809523808,0.12698412698412698,0.3611491343850318,True,H,0.061954427762313635,0.5,True,True
2020-10-04,Man United,Tottenham,A,0.5135532504082941,0.24351164785336044,0.24293510173834543,0.5129935875801552,0.24974687816402294,0.2372595342558218,1.4149609423470242,False,,0.005675567482523625,,True,True
2020-10-04,Aston Villa,Liverpool,H,0.10495294808222128,0.17395962860887948,0.7210874233088993,0.09514304723885564,0.17298735861610115,0.7318695941450433,2.2542431427601284,False,,0.009809900843365638,,True,True
2020-10-17,Newcastle,Man United,A,0.16886810987331607,0.23350495670259752,0.5976269334240862,0.19806114839671882,0.23519761372110362,0.5667412378821775,0.5147885768617073,False,,0.030885695541908786,,True,True
2020-10-17,Man City,Arsenal,H,0.7272663443450362,0.16218566988357547,0.11054798577138814,0.6624541377904607,0.1907867916836527,0.14675907052588671,0.31846250768262374,True,H,0.06481220655457554,0.43999999999999995,True,True
2020-10-17,Chelsea,Southampton,D,0.5823896362008254,0.20641527744809526,0.2111950863510796,0.6543046357615894,0.1997350993377483,0.14596026490066225,1.5778652294701017,True,A,0.06523482145041734,-1.0,True,True
2020-10-17,Everton,Liverpool,D,0.21480354274929947,0.21321246967758642,0.5719839875731142,0.25367592455072036,0.2264963612060003,0.5198277142432793,1.545466100232022,True,A,0.05215627332983486,-1.0,True,True
2020-10-18,Tottenham,West Ham,D,0.5874305792976282,0.21347933874048988,0.19909008196188188,0.6067809651932196,0.2200106501970796,0.17320838460970087,1.544215225045596,False,,0.025881697352181016,,True,True
2020-10-18,Crystal Palace,Brighton,D,0.3469531497225439,0.31218409045864615,0.34086275981881,0.36175395858708886,0.28721071863581,0.3510353227771011,1.16416223165269,False,,0.024973371822836155,,True,True
2020-10-18,Leicester,Aston Villa,A,0.641962794084952,0.1967531148665045,0.16128409104854324,0.5186936112128375,0.24979192329460334,0.23151446549255922,1.824587928296448,True,H,0.12326918287211452,-1.0,True,True
2020-10-18,Sheffield United,Fulham,D,0.651523717378318,0.23638497674081776,0.1120913058808641,0.4537346711259755,0.28874024526198444,0.25752508361204013,1.4422935456353367,True,H,0.19778904625234256,-1.0,True,True
2020-10-19,Leeds,Wolves,A,0.4814487108926433,0.2332500573135964,0.2853012317937603,0.38042255784061696,0.2881989074550128,0.3313785347043701,1.2542097032334112,True,H,0.10102615305202634,-1.0,True,True
2020-10-19,West Brom,Burnley,D,0.2490348419331262,0.21891833323992105,0.5320468248269529,0.3865105008077544,0.28695476575121165,0.32653473344103395,1.5190565262932274,True,A,0.20551209138591892,-1.0,True,True
2020-10-23,Aston Villa,Leeds,A,0.30037523205054123,0.20734880361721994,0.49227596433223886,0.4612804025719877,0.2521666200726866,0.28655297735532564,0.7087158166228765,True,A,0.2057229869769132,2.3,True,True
2020-10-24,West Ham,Man City,D,0.14669523902220638,0.17677941886565302,0.6765253421121404,0.11896034655114963,0.18127290903032325,0.6997667444185273,1.7328525446855847,False,,0.027734892471056746,,True,True
2020-10-24,Man United,Chelsea,D,0.5150898682410878,0.2137447887688756,0.27116534299003664,0.3992395437262357,0.2628326996197719,0.33792775665399244,1.5429725514911174,True,H,0.11585032451485211,-1.0,True,True
