bets,wins,win_rate,stake,profit,roi,avg_odds,avg_ev,max_drawdown,roi_ci_low,roi_ci_high,p_roi_le_0,model,strategy,ev_threshold
3315,1214,0.36621417797888384,3315.0,-55.51999999999999,-0.01674811463046757,3.816135746606334,0.38863459789366034,-152.6300000000001,-0.05545369213292325,0.022240751970891447,0.7944,HistGB + Elo/Rest,argmax,0.0
3228,1174,0.36369268897149937,3228.0,-53.62,-0.01661090458488228,3.845179677819083,0.39882488140616157,-151.35000000000008,-0.056819841752891044,0.023707317182995277,0.7812,HistGB + Elo/Rest,argmax,0.02
3060,1090,0.3562091503267974,3060.0,-45.89000000000001,-0.014996732026143794,3.9054346405228757,0.4186957134739891,-142.88000000000014,-0.05492669044378211,0.02614017094017093,0.7534,HistGB + Elo/Rest,argmax,0.05
2694,902,0.3348181143281366,2694.0,-83.71,-0.031072754268745357,4.067427616926504,0.46519442386007187,-156.0,-0.07830535765462551,0.011605841583433502,0.9206,HistGB + Elo/Rest,argmax,0.1
2335,740,0.3169164882226981,2335.0,-84.93,-0.03637259100642399,4.266847965738758,0.5175153936966533,-154.06000000000017,-0.08709202341216735,0.024289364922305857,0.8832,HistGB + Elo/Rest,argmax,0.15
4119,1501,0.3644088370963826,4119.0,-80.73999999999998,-0.019601845108035927,3.783139111434814,0.3357725058996585,-184.9100000000002,-0.05336124103634207,0.01816739388150243,0.8492,HistGB + Elo/Rest,all_qualifying,0.0
3876,1404,0.3622291021671827,3876.0,-50.04999999999998,-0.012912796697626414,3.843663570691435,0.35620743750553585,-162.3400000000002,-0.04870207941582125,0.028457338156088353,0.7332,HistGB + Elo/Rest,all_qualifying,0.02
3540,1254,0.35423728813559324,3540.0,-42.689999999999976,-0.012059322033898298,3.931960451977401,0.38665848846425377,-157.70000000000016,-0.054362457747901084,0.03553185366783769,0.691,HistGB + Elo/Rest,all_qualifying,0.05
2974,979,0.3291862811028917,2974.0,-101.79999999999995,-0.03422999327505042,4.1306119704102215,0.44584993160339803,-174.19999999999996,-0.0825268316096696,0.011234832262669523,0.9276,HistGB + Elo/Rest,all_qualifying,0.1
2514,784,0.3118536197295147,2514.0,-99.72999999999999,-0.03966984884645982,4.3515552903739065,0.5046918241389434,-172.03000000000011,-0.09172006117325594,0.020893872994127375,0.9064,HistGB + Elo/Rest,all_qualifying,0.15
