model,logloss,brier,accuracy
HistGB + Elo/Rest,1.0475410824272235,0.612320064005541,0.5073099415204678
HistGB + Elo/Rest + sigmoid,0.9885008801450859,0.5876711758363654,0.5307017543859649
Market baseline,0.9568882794610829,0.5670346947259389,0.5502923976608187
Market logistic,0.9657145630637444,0.5718466772869183,0.541812865497076
Market logistic + isotonic,1.0461918111870676,0.5770037461239497,0.5356725146198831
Market logistic + sigmoid,0.9686705501227405,0.5735520002480868,0.5453216374269005
Team + Market,0.9839651782074222,0.5815952863080527,0.5295321637426901
Team + Market + Elo/Rest,1.0012680070891675,0.5890359681613122,0.5283625730994153
Team + Market + Elo/Rest + sigmoid,0.9805521807376795,0.5812676380915459,0.5371345029239766
Team + Market + isotonic,0.9904164389691398,0.5831803318635141,0.5345029239766081
Team + Market + sigmoid,0.9766324168604876,0.5788089427374962,0.5356725146198831
