bin,n,predicted_prob,observed_freq,model
"(-0.001, 0.1]",1364,0.05489106433677792,0.1532258064516129,HistGB + Elo/Rest
"(0.1, 0.2]",1982,0.15168612454361616,0.21543895055499496,HistGB + Elo/Rest
"(0.2, 0.3]",2130,0.24976109729284898,0.284037558685446,HistGB + Elo/Rest
"(0.3, 0.4]",1569,0.3464649066187203,0.32377310388782665,HistGB + Elo/Rest
"(0.4, 0.5]",991,0.4467734943910928,0.37436932391523714,HistGB + Elo/Rest
"(0.5, 0.6]",680,0.5467867494638772,0.4632352941176471,HistGB + Elo/Rest
"(0.6, 0.7]",606,0.645899662662383,0.5825082508250825,HistGB + Elo/Rest
"(0.7, 0.8]",463,0.7463410559190777,0.6090712742980562,HistGB + Elo/Rest
"(0.8, 0.9]",303,0.8465061749397317,0.7128712871287128,HistGB + Elo/Rest
"(0.9, 1.0]",172,0.9352448583311744,0.7790697674418605,HistGB + Elo/Rest
"(-0.001, 0.1]",169,0.07648666354024296,0.07692307692307693,HistGB + Elo/Rest + sigmoid
"(0.1, 0.2]",1323,0.16623064759548337,0.15797430083144368,HistGB + Elo/Rest + sigmoid
"(0.2, 0.3]",3987,0.2427379647336004,0.24228743416102333,HistGB + Elo/Rest + sigmoid
"(0.3, 0.4]",1721,0.35092474034883436,0.3253922138291691,HistGB + Elo/Rest + sigmoid
"(0.4, 0.5]",1342,0.447796855377371,0.4307004470938897,HistGB + Elo/Rest + sigmoid
"(0.5, 0.6]",1007,0.5480025902252272,0.576961271102284,HistGB + Elo/Rest + sigmoid
"(0.6, 0.7]",633,0.6413127333007083,0.7030015797788309,HistGB + Elo/Rest + sigmoid
"(0.7, 0.8]",77,0.7254630763683811,0.8701298701298701,HistGB + Elo/Rest + sigmoid
"(0.8, 0.9]",1,0.8192582267161373,1.0,HistGB + Elo/Rest + sigmoid
"(-0.001, 0.1]",478,0.07151531935026294,0.06694560669456066,Market baseline
"(0.1, 0.2]",1672,0.1555514133929626,0.159688995215311,Market baseline
"(0.2, 0.3]",3764,0.25591802799354146,0.2547821466524973,Market baseline
"(0.3, 0.4]",1481,0.3458746218934662,0.3416610398379473,Market baseline
"(0.4, 0.5]",1004,0.4474790654099014,0.4292828685258964,Market baseline
"(0.5, 0.6]",766,0.5491076740037911,0.5496083550913838,Market baseline
"(0.6, 0.7]",539,0.6479818247874563,0.6920222634508348,Market baseline
"(0.7, 0.8]",381,0.7455271485102877,0.7217847769028871,Market baseline
"(0.8, 0.9]",173,0.8392991064256329,0.8901734104046243,Market baseline
"(0.9, 1.0]",2,0.912844626344574,1.0,Market baseline
"(-0.001, 0.1]",585,0.07249422225931322,0.09230769230769231,Market logistic
"(0.1, 0.2]",2024,0.15506005688602875,0.16353754940711462,Market logistic
"(0.2, 0.3]",3193,0.2534917769763489,0.27153147510178516,Market logistic
"(0.3, 0.4]",1503,0.34278892789664067,0.3260146373918829,Market logistic
"(0.4, 0.5]",946,0.44832802736846683,0.4048625792811839,Market logistic
"(0.5, 0.6]",719,0.5488895059107994,0.5605006954102921,Market logistic
"(0.6, 0.7]",611,0.6474312706343033,0.6055646481178396,Market logistic
"(0.7, 0.8]",466,0.7450891180272241,0.7381974248927039,Market logistic
"(0.8, 0.9]",206,0.8308058234384449,0.8349514563106796,Market logistic
"(0.9, 1.0]",7,0.91863124283527,0.8571428571428571,Market logistic
"(-0.001, 0.1]",861,0.0562011871475199,0.09988385598141696,Market logistic + isotonic
"(0.1, 0.2]",1633,0.15365301700555467,0.18187385180649113,Market logistic + isotonic
"(0.2, 0.3]",3131,0.25307458239401287,0.2622165442350687,Market logistic + isotonic
"(0.3, 0.4]",1677,0.3454910717676905,0.3291592128801431,Market logistic + isotonic
"(0.4, 0.5]",930,0.44616646668636445,0.3989247311827957,Market logistic + isotonic
"(0.5, 0.6]",739,0.5478772234578254,0.5534506089309879,Market logistic + isotonic
"(0.6, 0.7]",609,0.649004980817652,0.6091954022988506,Market logistic + isotonic
"(0.7, 0.8]",444,0.7421333750462846,0.713963963963964,Market logistic + isotonic
"(0.8, 0.9]",191,0.8463749548745301,0.8429319371727748,Market logistic + isotonic
"(0.9, 1.0]",45,0.9490090198367915,0.7777777777777778,Market logistic + isotonic
"(-0.001, 0.1]",353,0.07767216787275125,0.08781869688385269,Market logistic + sigmoid
"(0.1, 0.2]",1898,0.15950540006565544,0.15911485774499473,Market logistic + sigmoid
"(0.2, 0.3]",3589,0.24826518970227218,0.25745332961827805,Market logistic + sigmoid
"(0.3, 0.4]",1365,0.3453783852061979,0.32673992673992674,Market logistic + sigmoid
"(0.4, 0.5]",1017,0.44850967437070366,0.40707964601769914,Market logistic + sigmoid
"(0.5, 0.6]",870,0.5501841264328393,0.5528735632183908,Market logistic + sigmoid
"(0.6, 0.7]",757,0.6476028851598765,0.6605019815059445,Market logistic + sigmoid
"(0.7, 0.8]",404,0.7338405577501256,0.7821782178217822,Market logistic + sigmoid
"(0.8, 0.9]",7,0.8391022199624069,0.8571428571428571,Market logistic + sigmoid
"(-0.001, 0.1]",788,0.06778168636922598,0.116751269035533,Team + Market
"(0.1, 0.2]",2025,0.15452048956782474,0.18962962962962962,Team + Market
"(0.2, 0.3]",2772,0.2508632041569715,0.26082251082251084,Team + Market
"(0.3, 0.4]",1680,0.3443420078322017,0.3267857142857143,Team + Market
"(0.4, 0.5]",944,0.44847125617898653,0.4173728813559322,Team + Market
