bets,wins,win_rate,stake,profit,roi,avg_odds,avg_ev,max_drawdown,model,strategy,odds_bucket
1,0,0.0,1.0,-1.0,-1.0,4.75,0.08878588872764936,0.0,Market baseline,argmax,3.00-4.99
11,2,0.18181818181818182,11.0,7.0,0.6363636363636364,7.590909090909091,0.06269478136522176,-6.0,Market baseline,argmax,5.00-9.99
18,3,0.16666666666666666,18.0,17.0,0.9444444444444444,13.777777777777779,0.08267272264419309,-10.0,Market baseline,argmax,10+
1,0,0.0,1.0,-1.0,-1.0,4.75,0.08878588872764936,0.0,Market baseline,all_qualifying,3.00-4.99
11,2,0.18181818181818182,11.0,7.0,0.6363636363636364,7.590909090909091,0.06269478136522176,-6.0,Market baseline,all_qualifying,5.00-9.99
18,3,0.16666666666666666,18.0,17.0,0.9444444444444444,13.777777777777779,0.08267272264419309,-10.0,Market baseline,all_qualifying,10+
58,41,0.7068965517241379,58.0,-2.5899999999999994,-0.04465517241379309,1.3527586206896554,0.09488947838181981,-5.779999999999999,Market logistic,argmax,1.00-1.49
240,134,0.5583333333333333,240.0,-10.620000000000001,-0.044250000000000005,1.719458333333333,0.1016520746098288,-14.01,Market logistic,argmax,1.50-1.99
404,163,0.4034653465346535,404.0,-9.41,-0.023292079207920792,2.4328960396039605,0.11928520850458339,-27.969999999999985,Market logistic,argmax,2.00-2.99
615,172,0.27967479674796747,615.0,35.36,0.05749593495934959,3.757528455284553,0.13793157315769708,-46.440000000000005,Market logistic,argmax,3.00-4.99
346,59,0.17052023121387283,346.0,27.0,0.07803468208092486,6.816473988439307,0.21679490931044254,-27.75,Market logistic,argmax,5.00-9.99
164,10,0.06097560975609756,164.0,-31.0,-0.18902439024390244,13.774390243902438,0.6258455354092829,-61.0,Market logistic,argmax,10+
60,43,0.7166666666666667,60.0,-2.03,-0.03383333333333333,1.3503333333333336,0.09358710457225174,-5.22,Market logistic,all_qualifying,1.00-1.49
245,136,0.5551020408163265,245.0,-12.189999999999998,-0.04975510204081632,1.7187755102040818,0.10090409380640197,-17.009999999999994,Market logistic,all_qualifying,1.50-1.99
410,164,0.4,410.0,-12.809999999999999,-0.031243902439024387,2.4350243902439024,0.11843677637999836,-27.369999999999983,Market logistic,all_qualifying,2.00-2.99
649,175,0.2696456086286595,649.0,14.46,0.022280431432973806,3.763821263482281,0.13516632468398465,-52.10000000000001,Market logistic,all_qualifying,3.00-4.99
382,69,0.1806282722513089,382.0,59.0,0.1544502617801047,6.8232984293193715,0.2114375150155142,-28.25,Market logistic,all_qualifying,5.00-9.99
195,11,0.05641025641025641,195.0,-52.0,-0.26666666666666666,14.8,0.5754757758091564,-66.0,Market logistic,all_qualifying,10+
1,0,0.0,1.0,-1.0,-1.0,1.44,0.09580721008099191,0.0,Market logistic + sigmoid,argmax,1.00-1.49
125,65,0.52,125.0,-7.9300000000000015,-0.06344000000000001,1.79856,0.09774620241306747,-12.1,Market logistic + sigmoid,argmax,1.50-1.99
441,177,0.4013605442176871,441.0,-11.379999999999997,-0.025804988662131514,2.4419954648526074,0.13485904303805338,-33.249999999999986,Market logistic + sigmoid,argmax,2.00-2.99
703,183,0.2603129445234708,703.0,4.419999999999998,0.006287339971550495,3.8812091038406833,0.1476062159705708,-77.66999999999999,Market logistic + sigmoid,argmax,3.00-4.99
732,123,0.1680327868852459,732.0,37.75,0.05157103825136612,6.574043715846995,0.3064501251379683,-62.5,Market logistic + sigmoid,argmax,5.00-9.99
221,15,0.06787330316742081,221.0,-22.0,-0.09954751131221719,13.873303167420815,1.0134053988282963,-65.0,Market logistic + sigmoid,argmax,10+
2,0,0.0,2.0,-2.0,-1.0,1.42,0.07956906297063104,-1.0,Market logistic + sigmoid,all_qualifying,1.00-1.49
127,67,0.5275590551181102,127.0,-6.580000000000001,-0.05181102362204725,1.7966141732283465,0.09705278605611793,-12.1,Market logistic + sigmoid,all_qualifying,1.50-1.99
452,181,0.4004424778761062,452.0,-12.479999999999999,-0.027610619469026546,2.444513274336283,0.13312847929055407,-31.509999999999987,Market logistic + sigmoid,all_qualifying,2.00-2.99
739,187,0.2530446549391069,739.0,-14.47999999999999,-0.019594046008119065,3.8880649526387008,0.14440314118486483,-87.66999999999999,Market logistic + sigmoid,all_qualifying,3.00-4.99
817,139,0.1701346389228886,817.0,56.5,0.06915544675642595,6.631211750305997,0.2961500861377947,-56.25,Market logistic + sigmoid,all_qualifying,5.00-9.99
329,19,0.057750759878419454,329.0,-59.0,-0.17933130699088146,15.246200607902736,0.790096564737802,-97.0,Market logistic + sigmoid,all_qualifying,10+
140,105,0.75,140.0,-0.4599999999999991,-0.003285714285714279,1.3275714285714286,0.14357980284139685,-7.71,Market logistic + isotonic,argmax,1.00-1.49
251,139,0.5537848605577689,251.0,-17.249999999999993,-0.06872509960159359,1.692191235059761,0.13896808483131187,-20.979999999999997,Market logistic + isotonic,argmax,1.50-1.99
425,169,0.3976470588235294,425.0,-18.25,-0.04294117647058823,2.4328470588235294,0.1430043202498256,-34.99999999999999,Market logistic + isotonic,argmax,2.00-2.99
938,237,0.2526652452025586,938.0,-36.9,-0.039339019189765456,3.8173134328358214,0.19446358766061714,-98.68999999999998,Market logistic + isotonic,argmax,3.00-4.99
552,93,0.16847826086956522,552.0,19.0,0.034420289855072464,6.454166666666667,0.3373271194136695,-60.0,Market logistic + isotonic,argmax,5.00-9.99
120,9,0.075,120.0,-6.0,-0.05,14.133333333333333,1.1275138984354247,-45.0,Market logistic + isotonic,argmax,10+
145,109,0.7517241379310344,145.0,0.07000000000000162,0.00048275862068966635,1.3295862068965518,0.14114796884611436,-8.07,Market logistic + isotonic,all_qualifying,1.00-1.49
299,162,0.5418060200668896,299.0,-25.959999999999994,-0.08682274247491636,1.6977926421404683,0.12888817347099507,-30.779999999999973,Market logistic + isotonic,all_qualifying,1.50-1.99
440,175,0.3977272727272727,440.0,-18.349999999999998,-0.04170454545454545,2.4315681818181822,0.14048117837810403,-34.989999999999995,Market logistic + isotonic,all_qualifying,2.00-2.99
1002,255,0.25449101796407186,1002.0,-33.950000000000024,-0.03388223552894214,3.816806387225549,0.18778759541185502,-91.98999999999998,Market logistic + isotonic,all_qualifying,3.00-4.99
580,101,0.17413793103448275,580.0,44.75,0.0771551724137931,6.468879310344827,0.3277509603231325,-42.25,Market logistic + isotonic,all_qualifying,5.00-9.99
144,9,0.0625,144.0,-30.0,-0.20833333333333334,14.26388888888889,1.0077781028301416,-63.0,Market logistic + isotonic,all_qualifying,10+
133,103,0.7744360902255639,133.0,4.9,0.0368421052631579,1.3449624060150376,0.10576011804974951,-7.119999999999999,Team + Market,argmax,1.00-1.49
343,199,0.5801749271137027,343.0,-4.469999999999997,-0.013032069970845472,1.7165014577259474,0.1545948880588302,-15.589999999999995,Team + Market,argmax,1.50-1.99
469,181,0.3859275053304904,469.0,-36.22,-0.07722814498933901,2.42957356076759,0.19878437049697503,-44.06999999999999,Team + Market,argmax,2.00-2.99
1036,272,0.2625482625482625,1036.0,-39.019999999999996,-0.03766409266409266,3.713996138996139,0.228274447971531,-89.82000000000002,Team + Market,argmax,3.00-4.99
413,68,0.16464891041162227,413.0,6.0,0.014527845036319613,6.575060532687651,0.306348500731684,-72.25,Team + Market,argmax,5.00-9.99
153,11,0.0718954248366013,153.0,-14.0,-0.0915032679738562,14.50326797385621,0.7349391787090435,-72.0,Team + Market,argmax,10+
136,105,0.7720588235294118,136.0,4.540000000000001,0.033382352941176474,1.3447058823529412,0.10468909306376442,-7.839999999999999,Team + Market,all_qualifying,1.00-1.49
358,210,0.5865921787709497,358.0,-0.6199999999999939,-0.0017318435754189773,1.7176256983240226,0.15147116268440564,-14.229999999999999,Team + Market,all_qualifying,1.50-1.99
515,197,0.3825242718446602,515.0,-43.19,-0.0838640776699029,2.4288737864077667,0.190383644537719,-52.149999999999984,Team + Market,all_qualifying,2.00-2.99
1171,309,0.26387702818104186,1171.0,-44.99999999999999,-0.038428693424423566,3.7065499573014518,0.21447548406189143,-101.28,Team + Market,all_qualifying,3.00-4.99
472,83,0.17584745762711865,472.0,39.5,0.0836864406779661,6.585805084745763,0.29381354836890095,-53.5,Team + Market,all_qualifying,5.00-9.99
180,11,0.06111111111111111,180.0,-41.0,-0.22777777777777777,14.772222222222222,0.6770189686141519,-88.0,Team + Market,all_qualifying,10+
128,71,0.5546875,128.0,-1.0200000000000005,-0.007968750000000004,1.811328125,0.11233390258691103,-8.129999999999999,Team + Market + sigmoid,argmax,1.50-1.99
591,215,0.3637901861252115,591.0,-65.10999999999999,-0.11016920473773263,2.4699661590524533,0.16740479421544568,-69.24999999999997,Team + Market + sigmoid,argmax,2.00-2.99
826,213,0.25786924939467315,826.0,-28.10000000000001,-0.03401937046004844,3.8404963680387407,0.20080176114158574,-66.47999999999999,Team + Market + sigmoid,argmax,3.00-4.99
785,130,0.16560509554140126,785.0,27.5,0.03503184713375796,6.5438853503184715,0.3896780809041814,-62.75,Team + Market + sigmoid,argmax,5.00-9.99
259,19,0.07335907335907337,259.0,-6.0,-0.023166023166023165,14.725868725868725,1.1861465434332867,-60.0,Team + Market + sigmoid,argmax,10+
134,75,0.5597014925373134,134.0,0.4599999999999993,0.0034328358208955173,1.811492537313433,0.11058390154528254,-8.3,Team + Market + sigmoid,all_qualifying,1.50-1.99
604,220,0.36423841059602646,604.0,-66.37,-0.1098841059602649,2.467764900662252,0.1654382436856828,-70.09999999999998,Team + Market + sigmoid,all_qualifying,2.00-2.99
911,233,0.2557628979143798,911.0,-33.64,-0.03692645444566411,3.8588583973655326,0.19171149226945558,-67.55,Team + Market + sigmoid,all_qualifying,3.00-4.99
1029,168,0.16326530612244897,1029.0,27.75,0.02696793002915452,6.6202137998056365,0.356650498200817,-64.0,Team + Market + sigmoid,all_qualifying,5.00-9.99
396,29,0.07323232323232323,396.0,-10.0,-0.025252525252525252,14.77020202020202,0.9414107259704331,-87.0,Team + Market + sigmoid,all_qualifying,10+
60,44,0.7333333333333333,60.0,-0.3099999999999996,-0.0051666666666666606,1.3576666666666666,0.09727655489770615,-5.18,Team + Market + isotonic,argmax,1.00-1.49
236,135,0.5720338983050848,236.0,-5.2499999999999964,-0.022245762711864393,1.7344067796610168,0.16664757241419084,-11.18,Team + Market + isotonic,argmax,1.50-1.99
535,196,0.3663551401869159,535.0,-58.86,-0.11001869158878505,2.4578878504672903,0.1976754228242869,-60.220000000000006,Team + Market + isotonic,argmax,2.00-2.99
1022,251,0.2455968688845401,1022.0,-82.55999999999999,-0.08078277886497064,3.819099804305284,0.22953192120521643,-114.29000000000002,Team + Market + isotonic,argmax,3.00-4.99
671,106,0.15797317436661698,671.0,-17.25,-0.02570789865871833,6.468628912071535,0.42215256689889535,-105.75,Team + Market + isotonic,argmax,5.00-9.99
166,10,0.060240963855421686,166.0,-37.0,-0.22289156626506024,15.08433734939759,1.2411819920498717,-53.0,Team + Market + isotonic,argmax,10+
66,49,0.7424242424242424,66.0,0.5200000000000011,0.007878787878787897,1.3595454545454546,0.09432297296374101,-5.18,Team + Market + isotonic,all_qualifying,1.00-1.49
261,147,0.5632183908045977,261.0,-9.399999999999995,-0.03601532567049807,1.7339846743295022,0.1595102798462058,-16.519999999999996,Team + Market + isotonic,all_qualifying,1.50-1.99
583,219,0.37564322469982847,583.0,-50.339999999999996,-0.08634648370497426,2.4545454545454546,0.18995964456167955,-55.74999999999999,Team + Market + isotonic,all_qualifying,2.00-2.99
1157,285,0.24632670700086431,1157.0,-94.4,-0.08159031979256699,3.8113569576490924,0.2155831287805187,-127.87000000000006,Team + Market + isotonic,all_qualifying,3.00-4.99
